univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
21,T,A,244,388,447,531,727,868,29,42
21,P,B,311,396,365,361,402,359,47,89
21,R,B,955,926,970,1083,1032,1000,47,88
21,B,B,307,475,685,957,1223,1455,44,105
21,M,C,508,656,815,958,1087,1105,41,83
21,Y,C,1089,1376,2318,3809,5659,8323,88,189
21,S,D,33,212,803,1413,2039,2478,42,73
21,A,F,3042,6880,12826,17812,23421,27677,76,157
21,S,G,1118,1428,1578,1845,1615,1438,47,72
21,D,F,4679,4724,5136,5460,5865,6522,125,319
22,S,G,308,811,693,757,1146,1451,45,64
22,A,B,152,214,316,428,544,649,28,43
22,K,C,42,42,42,57,53,69,12,15
22,S,B,55,96,153,188,279,326,23,38
22,E,C,9,48,144,240,316,409,12,12
22,G,C,392,586,741,967,1190,1220,38,119
22,J,D,220,219,249,284,326,362,27,71
22,M,K,167,173,218,289,267,256,19,28
22,C,F,439,426,528,693,883,943,35,57
22,A,G,41,51,49,61,54,69,8,8
23,"J
",H,571,554,485,430,460,401,51,90
23,P,K,416,521,411,456,377,467,52,99
23,S,K,589,623,614,522,501,537,56,139
23,D,L,1288,1312,1340,1300,1309,1151,61,170
23,S,V,911,1010,1238,1560,1816,2160,51,102
23,S,Z,1498,1797,1242,1070,920,818,84,162
23,R,T,1175,1140,1061,928,886,876,74,227
23,M,L,2466,2963,3372,3984,4166,4362,93,238
23,"A
",G,95,106,149,202,191,243,30,63
23,"K
",F,176,214,217,191,202,247,30,64
24,K,M,401,340,300,313,290,261,36,60
24,A,B,1785,2075,2900,3623,3854,3418,11,11
24,W,L,1375,1322,1329,1212,995,1013,72,231
24,D,K,83,137,205,283,305,447,21,31
24,M,K,1471,1548,1356,1163,1114,1016,77,472
24,S,H,29,51,124,142,193,224,14,20
24,T,H,355,466,595,1045,1353,1312,38,92
24,S,G,221,289,278,419,531,606,31,105
24,R,C,829,710,683,582,547,455,53,109
24,G,C,1756,1508,1270,1069,1034,924,86,222
25,K,S,2743,4121,5849,7418,9200,9943,76,173
25,A,C,188,202,299,348,425,610,17,25
25,M,G,254,254,408,500,637,651,33,61
25,G,S,489,757,1081,1377,1826,1984,53,103
25,A,E,152,178,213,206,202,240,22,42
25,F,O,327,312,415,448,541,769,37,74
25,R,C,2133,2107,2165,2459,2304,2547,86,201
25,S,S,1304,1324,1348,1447,1752,1816,81,197
25,A,S,1803,1827,2250,2731,3047,3426,59,105
25,V,S,829,913,1267,1484,1592,1786,53,154
26,P,C,86,117,142,112,208,243,24,31
26,N,C,4,2,10,23,58,37,8,8
26,S,C,624,746,854,926,1125,1251,37,95
26,S,B,9,6,13,23,48,73,10,10
26,D,B,1440,2743,4463,6833,9878,12714,75,168
26,J,A,110,205,271,265,369,382,18,22
26,A,A,385,356,335,326,332,280,53,90
26,C,A,183,170,200,220,269,246,17,24
26,A,A,108,108,114,105,130,117,12,12
26,J,A,229,259,287,431,496,534,30,62
27,D,A,413,423,441,453,457,481,44,85
27,W,A,811,761,668,688,650,604,63,180
27,M,A,951,930,830,772,652,544,71,197
27,S,B,254,220,209,267,301,346,26,64
27,A,B,77,131,182,409,573,743,28,57
27,J,B,177,275,215,233,324,383,24,38
27,B,C,338,945,1379,1762,1983,2113,21,27
27,D,C,434,466,436,371,379,396,37,78
27,T,D,609,582,618,647,721,746,60,144
27,A,B,234,284,280,235,233,269,20,28
28,M,F,671,664,727,668,773,745,60,144
28,A,A,167,143,208,256,269,338,23,47
28,S,J,1991,2990,3581,4279,4968,5173,85,230
28,S,B,883,753,791,711,676,640,63,156
28,P,B,732,746,682,647,542,521,53,121
28,J,C,334,298,285,430,378,376,48,139
28,Y,C,546,670,794,1013,1159,1385,36,62
28,R,C,29,52,90,119,171,237,15,20
28,L,A,276,243,289,324,363,389,26,54
28,I,D,359,504,622,843,947,1191,45,109
29,S,D,158,182,206,214,195,219,25,37
29,B,D,121,243,501,781,1007,1235,32,74
29,W,A,110,169,328,463,712,858,31,64
29,V,A,160,160,169,177,173,167,20,28
29,J,A,272,313,365,444,529,577,43,98
29,M,A,593,607,520,565,686,762,46,117
29,S,A,648,744,1012,1207,1662,2128,57,172
29,S,B,54,94,195,300,401,423,19,21
29,E,B,8,17,36,85,179,245,17,22
29,M,D,200,299,348,411,566,692,32,61
30,R,D,417,437,470,482,555,536,35,74
30,I,D,636,623,622,603,668,642,48,112
30,D,D,140,173,171,189,229,212,24,38
30,F,G,796,832,861,1098,1030,961,63,114
30,Z,B,900,875,873,836,797,837,46,113
30,V,F,613,686,826,751,712,719,43,70
30,H,C,817,843,868,896,859,860,45,77
30,M,C,0,32,148,376,702,1146,26,52
30,M,F,103,100,68,66,47,45,23,33
30,M,B,616,537,562,577,499,461,47,160
