univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
81,S,G,363,333,350,345,302,298,35,74
81,A,S,329,244,266,363,373,315,28,59
81,B,A,4,20,48,87,166,278,13,13
81,J,H,298,279,303,254,280,302,32,64
81,P,J,608,660,648,501,487,446,46,97
81,G,L,36,72,126,234,294,335,16,19
81,S,P,172,191,184,158,180,183,32,66
81,O,C,167,128,142,153,147,105,24,32
81,J,M,72,50,105,71,86,152,4,16
81,S,R,2,5,39,59,93,85,5,3
82,R,L,55,91,87,135,174,220,15,25
82,S,P,162,200,165,204,247,241,22,40
82,A,G,129,189,179,231,205,242,19,28
82,A,M,127,99,94,131,124,90,20,33
82,J,G,614,657,727,643,809,1025,33,54
82,G,S,92,70,72,105,101,97,14,14
82,L,Y,119,132,187,177,196,273,21,42
82,O,S,38,36,42,71,114,220,15,22
82,M,A,63,89,143,251,538,648,17,24
82,B,C,98,68,70,81,83,73,17,30
83,T,G,135,162,129,236,221,271,19,29
83,A,B,26,26,44,70,67,96,11,13
83,C,K,383,367,469,415,405,411,44,134
83,R,E,270,257,240,215,189,197,46,114
83,D,H,10,18,29,60,128,137,11,11
83,A,B,41,55,63,80,119,109,15,20
83,J,C,249,238,240,215,226,161,21,25
83,S,C,70,78,95,106,105,133,16,29
83,M,B,131,144,210,190,224,183,31,75
83,L,M,148,203,177,160,185,167,21,31
84,J,A,229,260,273,326,333,312,34,86
84,Y,C,51,44,68,97,141,145,14,19
84,H,A,134,186,204,218,236,212,20,33
84,E,S,279,311,346,362,415,356,23,43
84,T,A,98,128,154,167,126,184,18,32
84,M,B,42,65,57,44,32,35,12,17
84,H,B,6,14,15,9,16,23,6,4
84,R,B,332,374,425,374,374,369,33,61
84,L,C,160,226,202,171,187,180,26,36
84,T,B,386,374,328,299,354,344,28,75
85,J,M,525,518,429,438,446,384,51,137
85,S,F,88,94,105,64,80,39,14,15
85,J,L,82,74,129,113,160,133,12,12
85,K,J,117,138,185,213,226,256,25,40
85,M,H,70,47,72,63,69,83,16,21
85,L,G,34,72,102,130,148,215,14,20
85,I,A,133,151,151,168,159,171,27,45
85,P,D,229,230,285,358,421,589,33,78
85,L,C,81,69,80,71,107,154,24,52
85,S,M,207,233,246,321,325,366,31,72
86,X,G,162,152,142,163,147,171,26,61
86,S,B,108,86,148,114,114,112,24,60
86,F,C,328,434,428,497,510,559,29,76
86,L,C,427,465,467,368,371,360,39,90
86,J,C,31,26,32,22,25,22,18,33
86,D,H,137,94,73,64,46,47,22,41
86,X,D,10,80,144,189,284,495,11,13
86,P,F,309,268,286,232,264,226,45,151
86,E,F,44,70,96,72,74,96,16,22
86,V,G,198,191,160,199,213,172,27,45
87,M,G,340,350,331,350,307,325,19,27
87,L,G,307,276,303,240,319,288,21,18
87,K,R,68,49,65,137,289,246,18,29
87,H,V,352,431,438,355,377,296,23,35
87,N,F,123,91,87,98,108,69,11,11
87,G,W,275,233,223,213,228,218,14,23
87,J,Z,160,132,128,121,112,77,12,16
87,I,G,10,19,17,16,15,14,5,2
87,J,W,23,56,46,41,49,48,9,8
87,Z,Z,191,225,248,289,325,319,21,38
88,E,B,347,400,453,493,623,622,31,62
88,D,S,26,41,109,130,170,203,15,18
88,A,B,18,34,75,73,77,83,12,13
88,A,C,1,0,0,4,7,5,3,0
88,B,C,51,45,29,41,49,102,18,26
88,L,H,184,281,306,382,660,1196,38,87
88,M,R,13,45,145,210,238,294,16,25
88,L,S,0,98,156,331,677,1295,30,48
88,B,D,661,617,557,594,706,733,46,120
88,R,P,108,97,88,102,100,84,21,32
89,H,G,60,56,88,93,91,101,13,15
89,C,D,206,222,298,304,340,295,28,59
89,J,D,241,264,255,256,260,263,44,126
89,J,C,149,159,215,305,362,339,33,56
89,H,C,51,72,85,89,154,194,16,28
89,B,C,23,57,18,20,25,35,18,32
89,S,B,382,336,440,401,471,436,34,92
89,Q,L,374,611,748,1100,1404,1686,49,116
89,S,N,310,323,520,675,912,1089,20,24
89,H,M,153,246,208,233,246,296,23,41
90,X,H,73,58,65,77,71,48,22,56
90,A,P,25,52,65,87,92,102,8,7
90,G,N,294,317,327,447,561,677,38,84
90,K,A,1122,1156,1328,1312,1556,1432,54,161
90,C,P,331,420,467,572,617,663,33,103
90,A,A,1126,1474,1316,1091,980,932,32,65
90,J,B,113,186,167,111,132,98,16,19
90,W,D,0,7,6,22,48,56,7,7
90,A,K,142,242,254,221,233,272,13,13
90,D,L,0,0,10,56,122,338,11,13
